Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
javascript,bytes,document,100,2,avsc,5.7.9,35798,22428,114,58226,27934.521482,44587.123239,17174.458146,0,1.00,1,c4a54cdecc67,45,5
javascript,bytes,document,100,2,bson,6.10.4,39589,28999,493,68588,25259.541792,34483.947722,14579.809879,0,1.00,1,c4a54cdecc67,46,6
javascript,bytes,document,100,2,cbor-x,1.6.4,26978,46601,234,73579,37067.239973,21458.766979,13590.834341,0,1.00,1,c4a54cdecc67,47,7
javascript,bytes,document,100,2,protobuf-es,2.12.1,84443,58505,155,142948,11842.307829,17092.556192,6995.550830,0,1.00,1,c4a54cdecc67,48,8
javascript,bytes,document,100,2,msgpackr,1.12.1,24184,17529,345,41713,41349.652663,57048.319927,23973.341644,0,1.00,1,c4a54cdecc67,49,9
javascript,bytes,document,100,2,devalue,5.8.1,47529,17187,555,64716,21039.786236,58183.510793,15452.129303,0,1.00,1,c4a54cdecc67,50,10
javascript,bytes,document,100,2,JSON.stringify,node-24.15.0,4700,4096,448,8796,212765.957447,244140.625000,113688.040018,0,1.00,1,c4a54cdecc67,51,11
javascript,bytes,document,100,2,fast-json-stringify,6.4.0,14713,2869,448,17582,67967.103922,348553.502963,56876.350813,0,1.00,1,c4a54cdecc67,52,12
javascript,bytes,document,100,2,bser,2.1.1,96987,62995,448,159982,10310.660192,15874.275736,6250.703204,0,1.00,1,c4a54cdecc67,53,13
javascript,bytes,document,100,2,cbor,9.0.2,359235,216518,332,575753,2783.693126,4618.553654,1736.855909,0,1.00,1,c4a54cdecc67,54,14
javascript,bytes,document,100,2,simdjson-parse+JSON.stringify,0.9.2,8769,451454,448,460223,114038.088722,2215.065101,2172.859679,0,1.00,1,c4a54cdecc67,55,15
javascript,bytes,document,100,2,json-pack-msgpack,18.28.0,101697,38431,337,140128,9833.131754,26020.660404,7136.332496,0,1.00,1,c4a54cdecc67,56,16
javascript,bytes,document,100,2,v8-serializer,v8-13.6.233.17-node.48,14035,12523,403,26558,71250.445315,79853.070351,37653.437759,0,1.00,1,c4a54cdecc67,57,17
javascript,bytes,document,100,2,flexbuffers,24.12.23,224196,156404,579,380600,4460.382879,6393.698371,2627.430373,0,1.00,1,c4a54cdecc67,58,18
javascript,bytes,document,100,2,sia,2.3.0,44380,30342,547,74722,22532.672375,32957.616505,13382.939429,0,1.00,1,c4a54cdecc67,59,19
javascript,bytes,document,100,3,bson,6.10.4,48805,30146,493,78951,20489.703924,33171.896769,12666.084027,0,1.00,1,c4a54cdecc67,60,0
javascript,bytes,document,100,3,bebop,3.2.3,18778,11623,547,30401,53253.807647,86036.307322,32893.654814,0,1.00,1,c4a54cdecc67,61,1
javascript,bytes,document,100,3,fast-json-stringify,6.4.0,13515,8080,448,21595,73991.860895,123762.376238,46307.015513,0,1.00,1,c4a54cdecc67,62,2
javascript,bytes,document,100,3,sia,2.3.0,52203,26589,547,78792,19155.987204,37609.537779,12691.643822,0,1.00,1,c4a54cdecc67,63,3
javascript,bytes,document,100,3,@msgpack/msgpack,3.1.3,40386,49339,325,89725,24761.055811,20267.942196,11145.165784,0,1.00,1,c4a54cdecc67,64,4
javascript,bytes,document,100,3,JSON.stringify,node-24.15.0,5367,5736,448,11103,186323.830818,174337.517434,90065.747996,0,1.00,1,c4a54cdecc67,65,5
javascript,bytes,document,100,3,devalue,5.8.1,51844,14771,555,66615,19288.635136,67700.223411,15011.634016,0,1.00,1,c4a54cdecc67,66,6
javascript,bytes,document,100,3,cbor,9.0.2,380852,181781,332,562633,2625.691870,5501.124980,1777.357531,0,1.00,1,c4a54cdecc67,67,7
javascript,bytes,document,100,3,v8-serializer,v8-13.6.233.17-node.48,12126,9726,403,21852,82467.425367,102817.191034,45762.401611,0,1.00,1,c4a54cdecc67,68,8
javascript,bytes,document,100,3,bser,2.1.1,56168,55052,448,111220,17803.731662,18164.644336,8991.188635,0,1.00,1,c4a54cdecc67,69,9
javascript,bytes,document,100,3,protobufjs,7.6.5,39572,58616,155,98188,25270.393207,17060.188344,10184.543936,0,1.00,1,c4a54cdecc67,70,10
javascript,bytes,document,100,3,protobuf-es,2.12.1,83240,50014,155,133254,12013.455070,19994.401568,7504.465157,0,1.00,1,c4a54cdecc67,71,11
javascript,bytes,document,100,3,flexbuffers,24.12.23,184397,144344,579,328741,5423.081720,6927.894474,3041.908372,0,1.00,1,c4a54cdecc67,72,12
javascript,bytes,document,100,3,msgpackr,1.12.1,24900,19799,345,44699,40160.642570,50507.601394,22371.865142,0,1.00,1,c4a54cdecc67,73,13
javascript,bytes,document,100,3,flatbuffers,24.12.23,84242,36224,416,120466,11870.563377,27606.007067,8301.097405,0,1.00,1,c4a54cdecc67,74,14
javascript,bytes,document,100,3,avsc,5.7.9,34387,17288,114,51675,29080.757263,57843.590930,19351.717465,0,1.00,1,c4a54cdecc67,75,15
javascript,bytes,document,100,3,simdjson-parse+JSON.stringify,0.9.2,9328,22270,448,31598,107204.116638,44903.457566,31647.572631,0,1.00,1,c4a54cdecc67,76,16
javascript,bytes,document,100,3,cbor-x,1.6.4,29036,49084,234,78120,34440.005510,20373.237715,12800.819252,0,1.00,1,c4a54cdecc67,77,17
javascript,bytes,document,100,3,json-pack-msgpack,18.28.0,25499,23854,337,49353,39217.224205,41921.690283,20262.192775,0,1.00,1,c4a54cdecc67,78,18
