Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,StreamMode,RunOrder,SchedulePosition
csharp,string,message,100,1,SharpYaml,3.13.0,115616,141443,144,257059,8649.321893163577,7069.985789328563,3890.15751247768,0,1.00,1,99d1c7fab316,,41,3
csharp,string,message,100,1,Ceras,4.1.7,30638,186828,128,217466,32639.206214504862,5352.516753377438,4598.419982893878,0,1.00,1,99d1c7fab316,,42,4
csharp,string,message,100,1,LightProto,1.3.4,17129,7218,68,24347,58380.52425710783,138542.53255749514,41072.82211360743,0,1.00,1,99d1c7fab316,,43,5
csharp,string,message,100,1,BinaryPack,1.0.3,5339,4668,80,10007,187300.9926952613,214224.50728363325,99930.048965724,0,1.00,1,99d1c7fab316,,44,6
csharp,string,message,100,1,Google.Protobuf,3.35.1,18005,15979,68,33984,55540.12774229381,62582.139057512984,29425.612052730696,0,1.00,1,99d1c7fab316,,45,7
csharp,string,message,100,1,YAXLib,4.4.0,238510,175068,257,413578,4192.696323005324,5712.066168574497,2417.923583943053,0,1.00,1,99d1c7fab316,,46,8
csharp,string,message,100,1,Jil,2.17.0,51801,9206,157,61007,19304.646628443465,108624.80990658267,16391.561624075926,0,1.00,1,99d1c7fab316,,47,9
csharp,string,message,100,1,Json.Net,13.0.4,24669,28226,167,52895,40536.705987271474,35428.328491461776,18905.37858020607,0,1.00,1,99d1c7fab316,,48,10
csharp,string,message,100,1,GroBuf,1.9.2,5582,5631,212,11213,179147.25904693658,177588.3502042266,89182.19923303308,0,1.00,1,99d1c7fab316,,49,11
csharp,string,message,100,1,MS Bond Compact,.NET 8.0.28,16879,5888,72,22767,59245.21594881213,169836.95652173914,43923.22220758115,0,1.00,1,99d1c7fab316,,50,12
csharp,string,message,100,1,Migrant,0.13.0.0,160413,143667,1376,304080,6233.908723108476,6960.540694801172,3288.6082609839514,0,1.00,1,99d1c7fab316,,51,13
csharp,string,message,100,1,ZeroFormatter,1.6.4,7481,3884,76,11365,133671.96898810318,257466.52935118435,87989.44126704795,0,1.00,1,99d1c7fab316,,52,14
csharp,string,message,100,1,ServiceStack Json,6.11.0,23587,17666,157,41253,42396.23521431297,56605.909656968186,24240.66128523986,0,1.00,1,99d1c7fab316,,53,15
csharp,string,message,100,1,NetJSON,1.0.0,13250,16676,142,29926,75471.69811320755,59966.41880546894,33415.75887188398,0,1.00,1,99d1c7fab316,,54,16
csharp,string,message,100,1,ExtendedXmlSerializer,3.10.0.0,50367,59774,511,110141,19854.26966069053,16729.681801452138,9079.271116114798,0,1.00,1,99d1c7fab316,,55,17
