Tests performed 100 times for each TestData + Serializer pair
################################################################################

Test Data: Person
Serializer:               Ops/sec Avg:  Ser      Deser   Ser+Deser  Size: Avg
Json.Net              Stream         53,837     63,597     29,027      2,259
Json.Net (Helper)     string         49,864     56,449     26,391      2,259
Json.Net (Helper)     Stream         45,903     51,559     24,182      2,259
MS DataContract       Stream         52,446     37,976     21,898      4,583
MS XmlSerializer      string         43,510     42,774     21,420      4,764
MS DataContract Json  Stream         49,865     37,781     21,377      2,254
FsPicklerJson         string         45,393     40,265     21,194      3,384
MS XmlSerializer      Stream         41,311     39,294     20,062      4,746
MS DataContract Json  string         47,712     33,997     19,784      3,008
MS DataContract       string         46,674     28,977     17,737      6,112
NFX.Slim              Stream         14,360    193,548     13,342      1,012
NFX.Slim              string         14,292    122,785     12,748      1,352
MS JavaScript         string         32,792      6,559      5,451      2,249
MS JavaScript         Stream         30,236      6,411      5,267      2,249
JsonFx                string         37,902      5,681      4,925      2,250
JsonFx                Stream         12,905      5,358      3,749      2,250


Test Data: EDI_X12_835
Serializer:               Ops/sec Avg:  Ser      Deser   Ser+Deser  Size: Avg
===============================================================================
NetSerializer         Stream         30,551     30,405     15,163      7,858
ProtoBuf              Stream         34,630     21,138     13,059      7,018
NetSerializer         string         23,939     18,933     10,450     10,480
NetJSON               string         28,434     15,702      9,937     23,644
ProtoBuf              string         27,862     14,539      9,405      9,360
MsgPack               Stream         17,707      9,304      6,076      6,843
WireSerializer        Stream         12,605     11,698      6,040     17,007
Jil                   string          9,080     11,523      5,053     23,708
MsgPack               string         15,026      7,732      5,049      9,124
FsPickler             string          9,684     10,491      4,993     15,952
Jil                   Stream          8,918     10,356      4,750     23,708
WireSerializer        string         10,360      8,119      4,524     22,676
MS DataContract       Stream         14,144      5,652      4,013     46,760
ServiceStack Type     string         12,097      5,532      3,767     22,440
Json.Net (Helper)     string          8,784      6,492      3,716     25,694
Json.Net              string          8,990      6,436      3,706     25,694
ServiceStack Type     Stream         11,048      5,471      3,649     22,440
NFX.Slim              Stream          5,159     10,677      3,460     21,661
Json.Net (Helper)     Stream          7,445      5,900      3,275     25,694
ServiceStack Json     string         10,447      4,544      3,153     25,326
ServiceStack Json     Stream         10,221      4,504      3,117     25,326
MS XmlSerializer      Stream          8,600      4,891      3,098     59,194
MS XmlSerializer      string          8,361      4,942      3,093     59,212
fastJson              string          9,689      4,430      3,026     34,016
Json.Net              Stream          9,066      4,245      2,881     25,694
FsPicklerJson         string          6,162      4,987      2,729     36,780
NFX.Slim              string          4,377      6,704      2,626     28,884
MS DataContract       string          8,905      3,655      2,576     62,348
MS DataContract Json  Stream          9,757      3,468      2,551     25,400
fastJson              Stream          5,259      4,164      2,312     34,016
MS DataContract Json  string          7,719      2,881      2,083     33,868
MS Binary             Stream          3,692      4,638      2,046     33,766
MS Binary             string          3,376      3,396      1,684     45,024
MS JavaScript         Stream            936      1,434        563     25,400
MS JavaScript         string            873      1,300        518     25,400
JsonFx                Stream          5,149         56         55     25,350
JsonFx                string          4,914         55         54     25,350



Test Data: EDI_X12_835 No Atributes
Serializer:               Ops/sec Avg:  Ser      Deser   Ser+Deser  Size: Avg
===============================================================================
WireSerializer        Stream         13,214     12,134      6,288     17,667
Jil                   string         11,413     12,413      5,911     23,592
MsgPack               Stream         16,746      8,954      5,798      6,888
MsgPack               string         16,122      8,209      5,420      9,184
Jil                   Stream         10,365     10,498      5,179     23,592
WireSerializer        string         11,838      8,971      5,081     23,556
Json.Net              string         10,386      7,327      4,276     25,568
Json.Net              Stream          9,480      6,802      3,943     25,568
Json.Net (Helper)     string          9,617      6,695      3,935     25,568
Json.Net (Helper)     Stream          8,710      6,240      3,620     25,568
