Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,StreamMode,RunOrder,SchedulePosition
c,bytes,document,100,2,qcbor,1.5.1,3714,8350,343,12064,269251.480883,119760.479042,82891.246684,0,1.0,1,c4a54cdecc67,,47,9
c,bytes,document,100,2,tinycbor,0.6.0,1374,8006,343,9380,727802.037846,124906.320260,106609.808102,0,1.0,1,c4a54cdecc67,,48,10
c,bytes,document,100,2,libbson,1.27.5,5309,4429,577,9738,188359.389716,225784.601490,102690.490861,0,1.0,1,c4a54cdecc67,,49,11
c,bytes,document,100,2,msgpack-c,6.0.1,1462,4689,335,6151,683994.528044,213265.088505,162575.191026,0,1.0,1,c4a54cdecc67,,50,12
c,bytes,document,100,2,cJSON,1.7.18,45481,8671,460,54152,21987.203448,115326.951909,18466.538632,0,1.0,1,c4a54cdecc67,,51,13
c,bytes,document,100,2,ubj,1.0-min,938,473,244,1411,1066098.081023,2114164.904863,708717.221828,0,1.0,1,c4a54cdecc67,,52,14
c,bytes,document,100,2,flatcc,0.6.1,2951,293,236,3244,338868.180278,3412969.283276,308261.405672,0,1.0,1,c4a54cdecc67,,53,15
c,bytes,document,100,2,jansson,2.14,13892,12456,460,26348,71983.875612,80282.594733,37953.544861,0,1.0,1,c4a54cdecc67,,54,16
c,bytes,document,100,2,cbor-encode,0.11.0,8471,7647,457,16118,118049.817023,130770.236694,62042.437027,0,1.0,1,c4a54cdecc67,,55,17
c,bytes,document,100,2,parson,1.5.3,18650,9259,460,27909,53619.302949,108003.024085,35830.735605,0,1.0,1,c4a54cdecc67,,56,18
c,bytes,document,100,3,protobuf-wire,wire-v2,1150,1189,166,2339,869565.217391,841042.893188,427533.133818,0,1.0,1,c4a54cdecc67,,57,0
c,bytes,document,100,3,mpack,1.1,1573,5833,335,7406,635727.908455,171438.367907,135025.654874,0,1.0,1,c4a54cdecc67,,58,1
c,bytes,document,100,3,qcbor,1.5.1,3949,6366,343,10315,253228.665485,157084.511467,96946.194862,0,1.0,1,c4a54cdecc67,,59,2
c,bytes,document,100,3,jansson,2.14,11038,10101,460,21139,90596.122486,99000.099000,47305.927433,0,1.0,1,c4a54cdecc67,,60,3
c,bytes,document,100,3,parson,1.5.3,16357,6346,460,22703,61135.905117,157579.577687,44047.042241,0,1.0,1,c4a54cdecc67,,61,4
c,bytes,document,100,3,protobuf-c,1.5.0,1214,1229,166,2443,823723.228995,813669.650122,409332.787556,0,1.0,1,c4a54cdecc67,,62,5
c,bytes,document,100,3,yyjson,0.10.0,7900,4718,460,12618,126582.278481,211954.217889,79251.862419,0,1.0,1,c4a54cdecc67,,63,6
c,bytes,document,100,3,cbor-encode,0.11.0,7445,5967,457,13412,134318.334453,167588.402883,74560.095437,0,1.0,1,c4a54cdecc67,,64,7
c,bytes,document,100,3,tinycbor,0.6.0,1852,5678,343,7530,539956.803456,176118.351532,132802.124834,0,1.0,1,c4a54cdecc67,,65,8
c,bytes,document,100,3,ubj,1.0-min,311,234,244,545,3215434.083601,4273504.273504,1834862.385321,0,1.0,1,c4a54cdecc67,,66,9
c,bytes,document,100,3,msgpack-c,6.0.1,1326,6501,335,7827,754147.812971,153822.488848,127762.872109,0,1.0,1,c4a54cdecc67,,67,10
c,bytes,document,100,3,json-c,0.15,15399,14936,460,30335,64939.281772,66952.329941,32965.221691,0,1.0,1,c4a54cdecc67,,68,11
c,bytes,document,100,3,libbson,1.27.5,6383,4814,577,11197,156666.144446,207727.461570,89309.636510,0,1.0,1,c4a54cdecc67,,69,12
c,bytes,document,100,3,cJSON,1.7.18,7259,5677,460,12936,137760.022042,176149.374670,77303.648732,0,1.0,1,c4a54cdecc67,,70,13
c,bytes,document,100,3,avro-c,1.11.3,3717,1912,210,5629,269034.167339,523012.552301,177651.447859,0,1.0,1,c4a54cdecc67,,71,14
c,bytes,document,100,3,nanopb,0.4.9,1312,1194,166,2506,762195.121951,837520.938023,399042.298484,0,1.0,1,c4a54cdecc67,,72,15
c,bytes,document,100,3,zcbor,0.9,2640,7999,354,10639,378787.878788,125015.626953,93993.796409,0,1.0,1,c4a54cdecc67,,73,16
c,bytes,document,100,3,flatcc,0.6.1,992,205,236,1197,1008064.516129,4878048.780488,835421.888053,0,1.0,1,c4a54cdecc67,,74,17
c,bytes,document,100,3,custom-binary,v2-1.0,387,387,207,774,2583979.328165,2583979.328165,1291989.664083,0,1.0,1,c4a54cdecc67,,75,18
c,bytes,document,100,4,cJSON,1.7.18,5366,4394,460,9760,186358.553858,227583.067820,102459.016393,0,1.0,1,c4a54cdecc67,,76,0
c,bytes,document,100,4,yyjson,0.10.0,4371,2287,460,6658,228780.599405,437254.044600,150195.253830,0,1.0,1,c4a54cdecc67,,77,1
c,bytes,document,100,4,msgpack-c,6.0.1,1130,2992,335,4122,884955.752212,334224.598930,242600.679282,0,1.0,1,c4a54cdecc67,,78,2
c,bytes,document,100,4,flatcc,0.6.1,502,122,236,624,1992031.872510,8196721.311475,1602564.102564,0,1.0,1,c4a54cdecc67,,79,3
c,bytes,document,100,4,zcbor,0.9,1501,8009,354,9510,666222.518321,124859.533025,105152.471083,0,1.0,1,c4a54cdecc67,,80,4
c,bytes,document,100,4,cbor-encode,0.11.0,7628,7379,457,15007,131095.962244,135519.718119,66635.570067,0,1.0,1,c4a54cdecc67,,81,5
c,bytes,document,100,4,ubj,1.0-min,256,198,244,454,3906250.000000,5050505.050505,2202643.171806,0,1.0,1,c4a54cdecc67,,82,6
c,bytes,document,100,4,avro-c,1.11.3,575,525,210,1100,1739130.434783,1904761.904762,909090.909091,0,1.0,1,c4a54cdecc67,,83,7
c,bytes,document,100,4,json-c,0.15,8422,10724,460,19146,118736.642128,93248.787766,52230.230858,0,1.0,1,c4a54cdecc67,,84,8
c,bytes,document,100,4,parson,1.5.3,17326,9836,460,27162,57716.726307,101667.344449,36816.140196,0,1.0,1,c4a54cdecc67,,85,9
c,bytes,document,100,4,libbson,1.27.5,3972,3298,577,7270,251762.336354,303214.069133,137551.581843,0,1.0,1,c4a54cdecc67,,86,10
c,bytes,document,100,4,mpack,1.1,986,3344,335,4330,1014198.782961,299043.062201,230946.882217,0,1.0,1,c4a54cdecc67,,87,11
c,bytes,document,100,4,qcbor,1.5.1,3128,6002,343,9130,319693.094629,166611.129623,109529.025192,0,1.0,1,c4a54cdecc67,,88,12
c,bytes,document,100,4,jansson,2.14,11355,10540,460,21895,88066.930867,94876.660342,45672.527974,0,1.0,1,c4a54cdecc67,,89,13
c,bytes,document,100,4,protobuf-c,1.5.0,741,425,166,1166,1349527.665317,2352941.176471,857632.933105,0,1.0,1,c4a54cdecc67,,90,14
c,bytes,document,100,4,custom-binary,v2-1.0,199,163,207,362,5025125.628141,6134969.325153,2762430.939227,0,1.0,1,c4a54cdecc67,,91,15
c,bytes,document,100,4,nanopb,0.4.9,668,387,166,1055,1497005.988024,2583979.328165,947867.298578,0,1.0,1,c4a54cdecc67,,92,16
c,bytes,document,100,4,protobuf-wire,wire-v2,749,452,166,1201,1335113.484646,2212389.380531,832639.467111,0,1.0,1,c4a54cdecc67,,93,17
c,bytes,document,100,4,tinycbor,0.6.0,1780,6995,343,8775,561797.752809,142959.256612,113960.113960,0,1.0,1,c4a54cdecc67,,94,18
c,bytes,document,100,5,custom-binary,v2-1.0,165,86,207,251,6060606.060606,11627906.976744,3984063.745020,0,1.0,1,c4a54cdecc67,,95,0
c,bytes,document,100,5,nanopb,0.4.9,508,222,166,730,1968503.937008,4504504.504505,1369863.013699,0,1.0,1,c4a54cdecc67,,96,1
c,bytes,document,100,5,parson,1.5.3,15025,6069,460,21094,66555.740433,164771.791069,47406.845548,0,1.0,1,c4a54cdecc67,,97,2
c,bytes,document,100,5,yyjson,0.10.0,4693,1998,460,6691,213083.315576,500500.500501,149454.491107,0,1.0,1,c4a54cdecc67,,98,3
c,bytes,document,100,5,tinycbor,0.6.0,984,6141,343,7125,1016260.162602,162839.928350,140350.877193,0,1.0,1,c4a54cdecc67,,99,4
c,bytes,document,100,5,protobuf-c,1.5.0,609,288,166,897,1642036.124795,3472222.222222,1114827.201784,0,1.0,1,c4a54cdecc67,,100,5
c,bytes,document,100,5,mpack,1.1,821,1705,335,2526,1218026.796590,586510.263930,395882.818686,0,1.0,1,c4a54cdecc67,,101,6
c,bytes,document,100,5,zcbor,0.9,1606,7851,354,9457,622665.006227,127372.309260,105741.778577,0,1.0,1,c4a54cdecc67,,102,7
c,bytes,document,100,5,protobuf-wire,wire-v2,633,334,166,967,1579778.830964,2994011.976048,1034126.163392,0,1.0,1,c4a54cdecc67,,103,8
c,bytes,document,100,5,libbson,1.27.5,3801,3188,577,6989,263088.660879,313676.286073,143081.985978,0,1.0,1,c4a54cdecc67,,104,9
c,bytes,document,100,5,ubj,1.0-min,288,210,244,498,3472222.222222,4761904.761905,2008032.128514,0,1.0,1,c4a54cdecc67,,105,10
c,bytes,document,100,5,flatcc,0.6.1,666,145,236,811,1501501.501502,6896551.724138,1233045.622688,0,1.0,1,c4a54cdecc67,,106,11
c,bytes,document,100,5,cJSON,1.7.18,7407,5201,460,12608,135007.425408,192270.717170,79314.720812,0,1.0,1,c4a54cdecc67,,107,12
c,bytes,document,100,5,json-c,0.15,9692,11201,460,20893,103177.878663,89277.743059,47862.920595,0,1.0,1,c4a54cdecc67,,108,13
c,bytes,document,100,5,jansson,2.14,11634,10332,460,21966,85954.959601,96786.682153,45524.902121,0,1.0,1,c4a54cdecc67,,109,14
c,bytes,document,100,5,msgpack-c,6.0.1,1242,2447,335,3689,805152.979066,408663.669800,271076.172404,0,1.0,1,c4a54cdecc67,,110,15
c,bytes,document,100,5,qcbor,1.5.1,2983,6520,343,9503,335232.986926,153374.233129,105229.927391,0,1.0,1,c4a54cdecc67,,111,16
c,bytes,document,100,5,cbor-encode,0.11.0,7391,6235,457,13626,135299.688811,160384.923817,73389.109056,0,1.0,1,c4a54cdecc67,,112,17
c,bytes,document,100,5,avro-c,1.11.3,714,664,210,1378,1400560.224090,1506024.096386,725689.404935,0,1.0,1,c4a54cdecc67,,113,18
c,bytes,document,100,6,ubj,1.0-min,285,199,244,484,3508771.929825,5025125.628141,2066115.702479,0,1.0,1,c4a54cdecc67,,114,0
c,bytes,document,100,6,jansson,2.14,10103,18984,460,29087,98980.500841,52675.937632,34379.619761,0,1.0,1,c4a54cdecc67,,115,1
