StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser
Stream,Integer,1,0,Hyperion,13257,3779,5,17036,754,2646,586
Stream,Integer,1,0,NetSerializer,4091,1942,6,6033,2444,5149,1657
Stream,Integer,1,0,SpanJson,594514,630346,10,1224860,16,15,8
Stream,Integer,1,0,Utf8Json,17083,233244,10,250327,585,42,39
Stream,Integer,1,0,YamlDotNet,108355,86193,14,194548,92,116,51
Stream,Integer,1,0,YAXLib,150851,88042,28,238893,66,113,41
Stream,Integer,1,0,MemoryPack,85340,123340,5,208680,117,81,47
Stream,Integer,1,0,SharpYaml,28571,45749,14,74320,350,218,134
Stream,Integer,1,0,GroBuf,58722,81593,5,140315,170,122,71
Stream,Integer,1,0,ExtendedXmlSerializer,250092,129316,117,379408,39,77,26
Stream,Integer,1,0,Migrant,275479,336341,134,611820,36,29,16
Stream,Integer,1,0,Apex.Serialization,13393,3490,120,16883,746,2865,592
string,Telemetry,1,0,MS Binary,205718,188749,1820,394467,48,52,25
string,Telemetry,1,0,MS Bond Compact,11140917,193789,1220,11334706,0,51,0
string,Telemetry,1,0,MS Bond Fast,8843144,21706,1252,8864850,1,460,1
string,Telemetry,1,0,MS Bond Json,8087906,777546,2176,8865452,1,12,1
string,Telemetry,1,0,MS DataContract,6722600,4414050,6020,11136650,1,2,0
string,Telemetry,1,0,MS DataContract Json,1300569,3293611,2916,4594180,7,3,2
string,Telemetry,1,0,MS XmlSerializer,3699769,2492475,4584,6192244,2,4,1
string,Telemetry,1,0,fastJson,613066,1046209,2334,1659275,16,9,6
string,Telemetry,1,0,Jil,4651365,16172633,2181,20823998,2,0,0
string,Telemetry,1,0,Json.Net (Helper),2173331,2878849,2201,5052180,4,3,1
string,Telemetry,1,0,Json.Net,64424,107172,2202,171596,155,93,58
string,Telemetry,1,0,FsPickler,17434477,1458909,1420,18893386,0,6,0
string,Telemetry,1,0,FsPicklerJson,827613,659380,3292,1486993,12,15,6
string,Telemetry,1,0,NetJSON,3956125,2241000,2185,6197125,2,4,1
string,Telemetry,1,0,ProtoBuf,1766666,1042072,1348,2808738,5,9,3
string,Telemetry,1,0,ServiceStack Json,4385709,7459841,2186,11845550,2,1,0
string,Telemetry,1,0,ServiceStack Type,4874975,4058157,2167,8933132,2,2,1
string,Telemetry,1,0,Ceras,4389900,599570,1280,4989470,2,16,2
string,Telemetry,1,0,Hyperion,2856430,4446997,1320,7303427,3,2,1
string,Telemetry,1,0,NetSerializer,530467,549560,1340,1080027,18,18,9
string,Telemetry,1,0,SpanJson,13795157,3244153,2191,17039310,0,3,0
string,Telemetry,1,0,Utf8Json,6211605,6118460,2191,12330065,1,1,0
string,Telemetry,1,0,YamlDotNet,1380429,2269736,2373,3650165,7,4,2
string,Telemetry,1,0,YAXLib,493142,592069,4431,1085211,20,16,9
