Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
javascript,bytes,message,100,4,flexbuffers,24.12.23,82262,46018,199,128280,12156.281150,21730.627146,7795.447459,0,1.00,1,99d1c7fab316,84,4
javascript,bytes,message,100,4,bser,2.1.1,29164,32807,153,61971,34288.849266,30481.299723,16136.580013,0,1.00,1,99d1c7fab316,85,5
javascript,bytes,message,100,4,fast-json-stringify,6.4.0,6489,3455,168,9944,154106.950223,289435.600579,100563.153660,0,1.00,1,99d1c7fab316,86,6
javascript,bytes,message,100,4,protobuf-es,2.12.1,22565,18750,50,41315,44316.419233,53333.333333,24204.284158,0,1.00,1,99d1c7fab316,87,7
javascript,bytes,message,100,4,cbor-x,1.6.4,23795,24020,131,47815,42025.635638,41631.973356,20913.939140,0,1.00,1,99d1c7fab316,88,8
javascript,bytes,message,100,4,avsc,5.7.9,23045,17998,44,41043,43393.360816,55561.729081,24364.690690,0,1.00,1,99d1c7fab316,89,9
javascript,bytes,message,100,4,sia,2.3.0,16390,11740,162,28130,61012.812691,85178.875639,35549.235691,0,1.00,1,99d1c7fab316,90,10
javascript,bytes,message,100,4,JSON.stringify,node-24.15.0,2672,3552,168,6224,374251.497006,281531.531532,160668.380463,0,1.00,1,99d1c7fab316,91,11
javascript,bytes,message,100,4,v8-serializer,v8-13.6.233.17-node.48,7057,5687,135,12744,141703.273346,175839.634254,78468.298807,0,1.00,1,99d1c7fab316,92,12
javascript,bytes,message,100,4,cbor,9.0.2,146779,107284,124,254063,6812.963707,9321.054398,3936.031614,0,1.00,1,99d1c7fab316,93,13
javascript,bytes,message,100,4,protobufjs,7.6.5,27672,36762,52,64434,36137.612027,27202.002067,15519.756650,0,1.00,1,99d1c7fab316,94,14
javascript,bytes,message,100,4,json-pack-msgpack,18.28.0,17375,14769,131,32144,57553.956835,67709.391293,31110.004978,0,1.00,1,99d1c7fab316,95,15
javascript,bytes,message,100,4,@msgpack/msgpack,3.1.3,22444,22605,124,45049,44555.337729,44238.000442,22198.051011,0,1.00,1,99d1c7fab316,96,16
javascript,bytes,message,100,4,simdjson-parse+JSON.stringify,0.9.2,4746,11631,168,16377,210703.750527,85977.130083,61061.244428,0,1.00,1,99d1c7fab316,97,17
javascript,bytes,message,100,4,flatbuffers,24.12.23,52770,20630,104,73400,18950.161076,48473.097431,13623.978202,0,1.00,1,99d1c7fab316,98,18
javascript,bytes,message,100,4,bebop,3.2.3,13001,11583,162,24584,76917.160218,86333.419667,40676.863000,0,1.00,1,99d1c7fab316,99,19
javascript,bytes,message,100,5,fast-json-stringify,6.4.0,6516,4318,168,10834,153468.385513,231588.698472,92302.012184,0,1.00,1,99d1c7fab316,100,0
javascript,bytes,message,100,5,flexbuffers,24.12.23,86630,38280,199,124910,11543.345261,26123.301985,8005.764150,0,1.00,1,99d1c7fab316,101,1
javascript,bytes,message,100,5,cbor,9.0.2,146285,78451,124,224736,6835.970879,12746.810111,4449.665385,0,1.00,1,99d1c7fab316,102,2
javascript,bytes,message,100,5,JSON.stringify,node-24.15.0,3852,4340,168,8192,259605.399792,230414.746544,122070.312500,0,1.00,1,99d1c7fab316,103,3
javascript,bytes,message,100,5,sia,2.3.0,14020,10435,162,24455,71326.676177,95831.336847,40891.433245,0,1.00,1,99d1c7fab316,104,4
javascript,bytes,message,100,5,simdjson-parse+JSON.stringify,0.9.2,1874,11102,168,12976,533617.929562,90073.860566,77065.351418,0,1.00,1,99d1c7fab316,105,5
javascript,bytes,message,100,5,protobuf-es,2.12.1,24900,19408,50,44308,40160.642570,51525.144270,22569.287713,0,1.00,1,99d1c7fab316,106,6
javascript,bytes,message,100,5,json-pack-msgpack,18.28.0,14526,37123,131,51649,68842.076277,26937.478113,19361.459080,0,1.00,1,99d1c7fab316,107,7
javascript,bytes,message,100,5,flatbuffers,24.12.23,30294,14236,104,44530,33009.836931,70244.450688,22456.770716,0,1.00,1,99d1c7fab316,108,8
javascript,bytes,message,100,5,protobufjs,7.6.5,15018,25197,52,40215,66586.762552,39687.264357,24866.343404,0,1.00,1,99d1c7fab316,109,9
javascript,bytes,message,100,5,msgpackr,1.12.1,10404,13918,126,24322,96116.878124,71849.403650,41115.039882,0,1.00,1,99d1c7fab316,110,10
javascript,bytes,message,100,5,bson,6.10.4,17278,18321,140,35599,57877.069105,54582.173462,28090.676704,0,1.00,1,99d1c7fab316,111,11
javascript,bytes,message,100,5,google-protobuf,3.21.4,1557,18795,52,20352,642260.757868,53205.639798,49135.220126,0,1.00,1,99d1c7fab316,112,12
javascript,bytes,message,100,5,bser,2.1.1,26261,63089,153,89350,38079.281063,15850.623722,11191.941802,0,1.00,1,99d1c7fab316,113,13
javascript,bytes,message,100,5,avsc,5.7.9,16214,14039,44,30253,61675.095596,71230.144597,33054.573100,0,1.00,1,99d1c7fab316,114,14
javascript,bytes,message,100,5,v8-serializer,v8-13.6.233.17-node.48,8724,5629,135,14353,114626.318203,177651.447859,69671.845607,0,1.00,1,99d1c7fab316,115,15
javascript,bytes,message,100,5,cbor-x,1.6.4,16205,13196,131,29401,61709.348966,75780.539557,34012.448556,0,1.00,1,99d1c7fab316,116,16
javascript,bytes,message,100,5,@msgpack/msgpack,3.1.3,35028,22698,124,57726,28548.589700,44056.745088,17323.216575,0,1.00,1,99d1c7fab316,117,17
javascript,bytes,message,100,5,devalue,5.8.1,20970,8576,186,29546,47687.172151,116604.477612,33845.529006,0,1.00,1,99d1c7fab316,118,18
javascript,bytes,message,100,5,bebop,3.2.3,13206,10315,162,23521,75723.156141,96946.194862,42515.199184,0,1.00,1,99d1c7fab316,119,19
javascript,bytes,message,100,6,bson,6.10.4,16076,12395,140,28471,62204.528490,80677.692618,35123.458958,0,1.00,1,99d1c7fab316,120,0
javascript,bytes,message,100,6,avsc,5.7.9,13812,8648,44,22460,72400.810889,115633.672525,44523.597507,0,1.00,1,99d1c7fab316,121,1
javascript,bytes,message,100,6,simdjson-parse+JSON.stringify,0.9.2,2102,14195,168,16297,475737.392959,70447.340613,61360.986685,0,1.00,1,99d1c7fab316,122,2
javascript,bytes,message,100,6,fast-json-stringify,6.4.0,5758,1699,168,7457,173671.413685,588581.518540,134102.185866,0,1.00,1,99d1c7fab316,123,3
javascript,bytes,message,100,6,google-protobuf,3.21.4,1481,21459,52,22940,675219.446320,46600.493965,43591.979076,0,1.00,1,99d1c7fab316,124,4
javascript,bytes,message,100,6,flatbuffers,24.12.23,28283,15234,104,43517,35356.928190,65642.641460,22979.525243,0,1.00,1,99d1c7fab316,125,5
javascript,bytes,message,100,6,protobufjs,7.6.5,13673,22449,52,36122,73136.839026,44545.414050,27683.959914,0,1.00,1,99d1c7fab316,126,6
javascript,bytes,message,100,6,v8-serializer,v8-13.6.233.17-node.48,6228,6860,135,13088,160565.189467,145772.594752,76405.867971,0,1.00,1,99d1c7fab316,127,7
javascript,bytes,message,100,6,flexbuffers,24.12.23,67303,37873,199,105176,14858.178684,26404.034536,9507.872518,0,1.00,1,99d1c7fab316,128,8
javascript,bytes,message,100,6,protobuf-es,2.12.1,23538,18984,50,42522,42484.493160,52675.937632,23517.238136,0,1.00,1,99d1c7fab316,129,9
javascript,bytes,message,100,6,@msgpack/msgpack,3.1.3,30968,22406,124,53374,32291.397572,44630.902437,18735.714018,0,1.00,1,99d1c7fab316,130,10
javascript,bytes,message,100,6,json-pack-msgpack,18.28.0,33493,11983,131,45476,29856.985042,83451.556372,21989.620899,0,1.00,1,99d1c7fab316,131,11
javascript,bytes,message,100,6,cbor,9.0.2,124595,128016,124,252611,8026.004254,7811.523560,3958.655799,0,1.00,1,99d1c7fab316,132,12
javascript,bytes,message,100,6,JSON.stringify,node-24.15.0,4434,4801,168,9235,225529.995489,208289.939596,108283.703303,0,1.00,1,99d1c7fab316,133,13
javascript,bytes,message,100,6,sia,2.3.0,14457,10118,162,24575,69170.643979,98833.761613,40691.759919,0,1.00,1,99d1c7fab316,134,14
javascript,bytes,message,100,6,cbor-x,1.6.4,23519,13883,131,37402,42518.814575,72030.540949,26736.538153,0,1.00,1,99d1c7fab316,135,15
javascript,bytes,message,100,6,bebop,3.2.3,13171,98148,162,111319,75924.379318,10188.694624,8983.192447,0,1.00,1,99d1c7fab316,136,16
javascript,bytes,message,100,6,devalue,5.8.1,20360,8777,186,29137,49115.913556,113934.146064,34320.623263,0,1.00,1,99d1c7fab316,137,17
javascript,bytes,message,100,6,msgpackr,1.12.1,9871,19292,126,29163,101306.858474,51834.957495,34290.025032,0,1.00,1,99d1c7fab316,138,18
javascript,bytes,message,100,6,bser,2.1.1,115180,25113,153,140293,8682.062858,39820.013539,7127.939384,0,1.00,1,99d1c7fab316,139,19
javascript,bytes,message,100,7,devalue,5.8.1,21915,7384,186,29299,45630.846452,135427.952329,34130.857708,0,1.00,1,99d1c7fab316,140,0
javascript,bytes,message,100,7,JSON.stringify,node-24.15.0,3498,5265,168,8763,285877.644368,189933.523267,114116.170261,0,1.00,1,99d1c7fab316,141,1
javascript,bytes,message,100,7,flexbuffers,24.12.23,75472,39079,199,114551,13249.947000,25589.191126,8729.736100,0,1.00,1,99d1c7fab316,142,2
javascript,bytes,message,100,7,protobuf-es,2.12.1,26793,20185,50,46978,37323.181428,49541.738915,21286.559666,0,1.00,1,99d1c7fab316,143,3
javascript,bytes,message,100,7,msgpackr,1.12.1,9919,12136,126,22055,100816.614578,82399.472643,45341.192473,0,1.00,1,99d1c7fab316,144,4
javascript,bytes,message,100,7,json-pack-msgpack,18.28.0,16728,9348,131,26076,59780.009565,106974.753958,38349.440098,0,1.00,1,99d1c7fab316,145,5
javascript,bytes,message,100,7,google-protobuf,3.21.4,1139,15962,52,17101,877963.125549,62648.790878,58476.112508,0,1.00,1,99d1c7fab316,146,6
javascript,bytes,message,100,7,bser,2.1.1,23367,22194,153,45561,42795.395215,45057.222673,21948.596387,0,1.00,1,99d1c7fab316,147,7
javascript,bytes,message,100,7,bson,6.10.4,17572,11621,140,29193,56908.718416,86051.114362,34254.787106,0,1.00,1,99d1c7fab316,148,8
javascript,bytes,message,100,7,cbor,9.0.2,143169,85631,124,228800,6984.752286,11678.013803,4370.629371,0,1.00,1,99d1c7fab316,149,9
javascript,bytes,message,100,7,bebop,3.2.3,19547,15354,162,34901,51158.745588,65129.607920,28652.474141,0,1.00,1,99d1c7fab316,150,10
javascript,bytes,message,100,7,simdjson-parse+JSON.stringify,0.9.2,9299,16809,168,26108,107538.444994,59491.938842,38302.436035,0,1.00,1,99d1c7fab316,151,11
javascript,bytes,message,100,7,v8-serializer,v8-13.6.233.17-node.48,8324,5293,135,13617,120134.550697,188928.773852,73437.614746,0,1.00,1,99d1c7fab316,152,12
javascript,bytes,message,100,7,cbor-x,1.6.4,23660,13420,131,37080,42265.426881,74515.648286,26968.716289,0,1.00,1,99d1c7fab316,153,13
javascript,bytes,message,100,7,protobufjs,7.6.5,14665,25311,52,39976,68189.566996,39508.514085,25015.009005,0,1.00,1,99d1c7fab316,154,14
javascript,bytes,message,100,7,sia,2.3.0,16176,10299,162,26475,61819.980218,97096.805515,37771.482531,0,1.00,1,99d1c7fab316,155,15
javascript,bytes,message,100,7,flatbuffers,24.12.23,27523,14859,104,42382,36333.248556,67299.279898,23594.922373,0,1.00,1,99d1c7fab316,156,16
javascript,bytes,message,100,7,avsc,5.7.9,27413,10545,44,37958,36479.042790,94831.673779,26344.907529,0,1.00,1,99d1c7fab316,157,17
javascript,bytes,message,100,7,@msgpack/msgpack,3.1.3,15246,32564,124,47810,65590.974682,30708.758138,20916.126333,0,1.00,1,99d1c7fab316,158,18
javascript,bytes,message,100,7,fast-json-stringify,6.4.0,7842,2568,168,10410,127518.490181,389408.099688,96061.479347,0,1.00,1,99d1c7fab316,159,19
javascript,bytes,message,100,8,bebop,3.2.3,11640,9821,162,21461,85910.652921,101822.624987,46596.151158,0,1.00,1,99d1c7fab316,160,0
javascript,bytes,message,100,8,JSON.stringify,node-24.15.0,3239,2080,168,5319,308737.264588,480769.230769,188005.264147,0,1.00,1,99d1c7fab316,161,1
javascript,bytes,message,100,8,@msgpack/msgpack,3.1.3,18620,24010,124,42630,53705.692803,41649.312786,23457.658926,0,1.00,1,99d1c7fab316,162,2
javascript,bytes,message,100,8,bson,6.10.4,21154,15160,140,36314,47272.383474,65963.060686,27537.588809,0,1.00,1,99d1c7fab316,163,3
javascript,bytes,message,100,8,devalue,5.8.1,23204,17853,186,41057,43096.017928,56012.995015,24356.382590,0,1.00,1,99d1c7fab316,164,4
javascript,bytes,message,100,8,cbor,9.0.2,238526,118972,124,357498,4192.415083,8405.339071,2797.218446,0,1.00,1,99d1c7fab316,165,5
javascript,bytes,message,100,8,flatbuffers,24.12.23,54556,25617,104,80173,18329.789574,39036.577273,12473.027079,0,1.00,1,99d1c7fab316,166,6
javascript,bytes,message,100,8,avsc,5.7.9,17700,17417,44,35117,56497.175141,57415.169088,28476.236581,0,1.00,1,99d1c7fab316,167,7
javascript,bytes,message,100,8,fast-json-stringify,6.4.0,10176,1892,168,12068,98270.440252,528541.226216,82863.771959,0,1.00,1,99d1c7fab316,168,8
javascript,bytes,message,100,8,cbor-x,1.6.4,21769,19147,131,40916,45936.882723,52227.503003,24440.316747,0,1.00,1,99d1c7fab316,169,9
javascript,bytes,message,100,8,flexbuffers,24.12.23,121679,46425,199,168104,8218.344990,21540.118471,5948.698425,0,1.00,1,99d1c7fab316,170,10
javascript,bytes,message,100,8,v8-serializer,v8-13.6.233.17-node.48,9994,8187,135,18181,100060.036022,122144.863808,55002.475111,0,1.00,1,99d1c7fab316,171,11
javascript,bytes,message,100,8,google-protobuf,3.21.4,1951,32161,52,34112,512557.662737,31093.560524,29315.196998,0,1.00,1,99d1c7fab316,172,12
javascript,bytes,message,100,8,protobuf-es,2.12.1,55543,28991,50,84534,18004.068920,34493.463489,11829.559704,0,1.00,1,99d1c7fab316,173,13
javascript,bytes,message,100,8,msgpackr,1.12.1,16634,17083,126,33717,60117.830949,58537.727565,29658.629178,0,1.00,1,99d1c7fab316,174,14
